,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,CHEMBL5188500,active,CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccc2c(c1)OCO2,384.4350000000002,4.779900000000004,0.0,4.0,6.005243055412372
2,CHEMBL491358,active,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)c(OC)c1)CCCC3,423.5130000000003,3.9543000000000026,2.0,7.0,7.346787486224656
3,CHEMBL5199361,active,CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,326.4000000000002,2.773600000000001,0.0,5.0,6.610833915635467
5,CHEMBL1098479,inactive,C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C,456.7110000000003,6.628900000000008,2.0,3.0,4.6006724678413216
6,CHEMBL392385,inactive,CN(C(=O)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)c1cccc(Cl)c1,422.7900000000001,6.181300000000004,0.0,4.0,4.301029995663981
12,CHEMBL1257412,inactive,CCCCCCCCCCCCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,424.6730000000002,8.235200000000008,1.0,3.0,4.337242168318426
13,CHEMBL3415565,active,O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1F,368.452,4.162000000000004,1.0,3.0,6.482804102050026
14,CHEMBL372491,active,COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC,432.6060000000003,4.917000000000005,0.0,5.0,7.552841968657781
15,CHEMBL4063663,inactive,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCN1CCCC1,394.5150000000004,4.601900000000004,1.0,4.0,4.613501034449347
16,CHEMBL4205651,active,O=C(CNCc1ccccc1F)Nc1ccc2nc3n(c(=O)c2c1)CCC3,366.3960000000002,2.2101,2.0,5.0,6.277366077466188
17,CHEMBL4292192,inactive,CCN(CC)c1ccc(/C=C/c2cc(N3CCCCC3)c3ccccc3n2)cc1,385.55500000000006,6.241700000000006,0.0,3.0,4.193141970481182
19,CHEMBL5273978,active,Cc1cccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)c1,410.4290000000002,3.5207200000000016,0.0,4.0,7.593800576336688
20,CHEMBL4580216,active,S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,348.475,4.427100000000003,3.0,3.0,6.214670164989233
24,CHEMBL4634371,inactive,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccco1,425.4370000000002,2.6530000000000014,0.0,8.0,4.0
26,CHEMBL3623554,active,CC(C)(C)c1cccc(C(=O)C(F)F)c1,212.23899999999995,3.4319000000000024,0.0,1.0,8.21824462534753
28,CHEMBL195241,active,Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,578.8050000000002,6.514420000000007,2.0,6.0,8.387216143280265
29,CHEMBL14638,inactive,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,270.33200000000005,3.014000000000001,1.0,3.0,4.064996848546345
30,CHEMBL4878578,inactive,Clc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,325.8390000000001,5.465800000000004,0.0,2.0,4.0063433713845376
